DATE	2017-10-23 00:00:00	2017-10-23 00:30:00	2017-10-23 01:00:00	2017-10-23 01:30:00	2017-10-23 02:00:00	2017-10-23 02:30:00	2017-10-23 03:00:00	2017-10-23 03:30:00	2017-10-23 04:00:00	2017-10-23 04:30:00	2017-10-23 05:00:00	2017-10-23 05:30:00	2017-10-23 06:00:00	2017-10-23 06:30:00	2017-10-23 07:00:00	2017-10-23 07:30:00	2017-10-23 08:00:00	2017-10-23 08:30:00	2017-10-23 09:00:00	2017-10-23 09:30:00	2017-10-23 10:00:00	2017-10-23 10:30:00	2017-10-23 11:00:00	2017-10-23 11:30:00	2017-10-23 12:00:00	2017-10-23 12:30:00	2017-10-23 13:00:00	2017-10-23 13:30:00	2017-10-23 14:00:00	2017-10-23 14:30:00	2017-10-23 15:00:00	2017-10-23 15:30:00	2017-10-23 16:00:00	2017-10-23 16:30:00	2017-10-23 17:00:00	2017-10-23 17:30:00	2017-10-23 18:00:00	2017-10-23 18:30:00	2017-10-23 19:00:00	2017-10-23 19:30:00	2017-10-23 20:00:00	2017-10-23 20:30:00	2017-10-23 21:00:00	2017-10-23 21:30:00	2017-10-23 22:00:00	2017-10-23 22:30:00	2017-10-23 23:00:00	2017-10-23 23:30:00
PPFD_IN_1h	0.0186069652	0.0149751244	0.0176616915	0.0172	0.0204	0.0173631841	0.0284079602	0.4468159204	4.5917910448	18.3230845771	46.5176119403	88.6735323383	163.7324	242.4403015075	332.3500995025	369.8365217391	508.4530845771	584.7750746269	709.7606965174	781.6399	825.4055721393	873.803880597	887.0841293532	926.8480597015	950.9802487562	881.391641791	830.6424378109	780.1322885572	714.3810447761	657.4381094527	575.2658706468	494.4554228856	413.1882587065	337.9432835821	247.4647263682	167.9568159204	104.2260199005	55.4521890547	23.1601492537	6.66960199	0.7995024876	0.0443283582	0.01960199	0.0211940299	0.0205970149	0.0213432836	0.0185074627	0.0171144279
TS	12.9706368159	12.9379054726	12.9043134328	12.89029	12.857545	12.8061343284	12.7738308458	12.7422885572	12.7110646766	12.6814328358	12.6534179104	12.628840796	12.6097164179	12.596199005	12.5917860697	12.5966318408	12.610278607	12.628721393	12.6667412935	12.725595	12.758039801	12.8067860697	12.8574228856	12.9080995025	12.9592437811	13.0080597015	13.0546467662	13.0987512438	13.1401791045	13.1790149254	13.2122487562	13.2408955224	13.2627363184	13.2783084577	13.285721393	13.2867661692	13.2826368159	13.2726368159	13.2574129353	13.2369651741	13.2122885572	13.1865671642	13.1590348259	13.1307910448	13.1009004975	13.0698507463	13.0369452736	13.0040895522
WD_2h	165.4165	164.7501	164.8714	162.6445728643	163.7257286432	161.9706030151	163.0845454545	162.788989899	165.0572081218	164.6139698492	164.1840201005	164.261959799	160.3408542714	163.3538190955	173.2496984925	179.0749246231	183.3284422111	186.5991959799	199.6303015075	195.9981025641	194.7064974619	192.9028787879	194.3841414141	196.2327411168	200.1533668342	200.7243718593	199.2767336683	199.0188442211	206.7373366834	207.4012060302	198.4864	199.51885	197.0077	195.3094	188.38745	186.80115	186.29625	180.6523	175.8455	171.92515	170.81225	167.05565	167.57785	163.9579899497	165.56465	164.4612	165.09515	162.47015
CO2	423.5155	425.02225	424.99365	426.0957575758	426.8462121212	427.3718592965	428.2730150754	427.5740703518	426.9640703518	425.7827638191	423.1840201005	420.1066331658	416.653718593	412.9773232323	409.9194949495	406.9235714286	404.6541116751	402.5104040404	400.8035353535	399.1099489796	398.4639698492	398.1004020101	397.5365326633	396.0734170854	396.5012562814	396.4649748744	396.3929	396.0098994975	395.66085	394.60435	394.2661	394.5126	395.21575	396.0856	397.3734	399.2722	401.32935	404.11775	407.9954	411.57955	413.0824	414.51825	416.33025	418.1718	419.6127	420.09785	420.8671	421.836
FC_1h	3.4292462312	3.7722110553	3.7479899497	3.9913567839	3.9195454545	4.1441919192	3.9909547739	3.5381909548	3.4377777778	3.4812121212	3.0299497487	1.0627638191	-1.2992462312	-2.3296954315	-3.748680203	-6.0975126904	-7.2070408163	-9.0269897959	-10.1733502538	-11.6626020408	-12.3498484848	-12.8847715736	-12.8622613065	-13.0525757576	-12.8854822335	-11.9155276382	-11.4050251256	-11.4744387755	-10.7009090909	-10.2607575758	-8.9332323232	-7.9116	-6.8036	-5.5712060302	-3.8992	-1.96075	-0.8773	0.5661	1.2744	1.8032	2.3094974874	3.0377386935	3.4154773869	3.6775252525	3.8131	4.20935	4.22335	3.40085
H2O_3h	12.0416	11.974	11.90615	11.8540703518	11.8088442211	11.77495	11.7709	11.76075	11.6862	11.6351256281	11.6042713568	11.5637688442	11.5349246231	11.5204020101	11.5714070352	11.6594974874	11.8422110553	12.0691959799	12.2776884422	12.4349238579	12.4433333333	12.390255102	12.3185279188	12.2494949495	12.181969697	12.1070558376	11.9487939698	11.8821105528	11.805678392	11.7379396985	11.7087939698	11.7400502513	11.8192	11.8234170854	11.8926	11.9394	11.94475	12.003	11.9801	11.98205	12.08195	12.13725	12.15025	12.15685	12.2331	12.262	12.1618	12.10255
SB	-4.2194527363	-4.3241293532	-4.4146268657	-4.47075	-4.39625	-4.2307960199	-4.0190049751	-3.7135820896	-3.3565671642	-2.8862686567	-2.2944278607	-1.1531840796	-0.065920398	0.4653233831	1.4074129353	2.3977114428	3.4576616915	4.6157711443	6.0690049751	6.46985	7.0682089552	7.4412437811	7.6002487562	7.7251243781	7.6900497512	7.4948258706	7.3021890547	7.0445273632	6.6855223881	6.1694029851	5.549800995	4.7662189055	3.8612437811	2.9458	1.9800995025	1.2032338308	0.5066666667	-0.2357711443	-0.8956218905	-1.5087064677	-2.0267661692	-2.3702985075	-2.714278607	-2.9967164179	-3.3100995025	-3.6059701493	-3.8751243781	-4.0513432836
SH_3h	-3.7398	-4.041	-4.43145	-2.6527135678	-2.7281407035	-2.11305	-2.93815	-3.32535	-2.3296	-2.1129648241	-1.8329145729	-1.6005527638	-1.6166331658	0.2771859296	2.3247236181	3.882160804	6.405	7.0937373737	9.036969697	7.8120304569	8.0352020202	7.3538265306	8.1659898477	7.8115656566	6.2485858586	5.9246700508	4.6414070352	5.1071356784	4.9259296482	2.7540703518	2.1187939698	1.422361809	0.7098	0.4342211055	-0.14045	-1.0614	-1.5552	-2.7914	-4.97905	-5.40695	-6.34015	-6.8743	-7.66745	-7.1294	-7.96975	-7.4035	-4.60045	-3.82575
SLE_3h	-30.1422105263	-33.2778421053	-27.3061497326	-25.2786842105	-27.5140721649	-19.8123195876	-9.5188659794	-20.7677319588	-14.3043523316	-20.3096875	-16.8907106599	-18.5204081633	-13.3289175258	-5.0103061224	25.0666666667	29.448579235	38.6120987654	30.5572727273	38.2197241379	36.4981290323	8.3363225806	18.9728	8.9063768116	3.8577852349	8.5358041958	12.2492592593	1.4665517241	0.3793197279	-0.9328476821	3.7168613139	14.0345390071	-5.4679865772	18.2412244898	16.1169503546	8.1216176471	7.257	0.1606428571	1.1438255034	-8.1159477124	-5.0772839506	-15.4992682927	-7.471627907	-21.8230177515	-30.2919879518	-17.7325139665	-32.9253072626	-30.1834946237	-32.6959042553
ZL_3h	0.9606	1.00345	1.05775	0.8572222222	0.8233165829	0.83775	0.901	0.95975	0.7472	1.2482233503	1.048040201	0.5758375635	1.1626262626	0.6090306122	0.4245454545	0.1948484848	-1.6111557789	-2.5956060606	-1.7936363636	-1.9819191919	-1.7143718593	-1.3508542714	-1.2198492462	-1.2845728643	-1.0448241206	-1.2808542714	-0.6593467337	-0.6555050505	-0.7566834171	-0.7655778894	-0.8286432161	-0.6486432161	-0.57105	-0.51155	-0.4045	-0.4231	-0.3512	0.12355	-0.16425	0.2012	0.4189	0.5411	0.7946231156	0.7358	0.76565	0.9018	1.08345	0.7855
VPD	0.2388073883	0.2191191681	0.2094524029	0.2021613304	0.1947093387	0.1901607157	0.1836322743	0.1869916661	0.1976852106	0.2160432045	0.2410035648	0.2723676053	0.3135130994	0.3507077591	0.408373282	0.4679478132	0.535718276	0.6036575958	0.6578373027	0.7172224552	0.7714185373	0.8213614669	0.8718202103	0.9020523411	0.9268096185	0.9428853716	0.941944738	0.9409067859	0.9415205258	0.9254403499	0.9134479439	0.8825564063	0.8405968452	0.7964923303	0.7338283782	0.6654567016	0.5963873049	0.5365266524	0.4603084004	0.3953651868	0.3703324842	0.3471644594	0.3269551102	0.3067552659	0.2831670148	0.2744549085	0.2618374365	0.2527702423
